#{"t_start": 1681801412.1474683, "env_id": null}
r,l,t
126.2,148,2.682308
126.3,148,3.305099
125.7,148,3.919619
126.3,148,4.508972
125.6,148,5.092687
124.2,148,5.701564
126.1,148,6.298321
125.4,148,6.881884
125.8,148,7.448858
126.1,148,8.014334
126.1,148,8.59522
124.7,148,9.18271
123.9,148,9.777656
123.5,148,13.3967
125.3,148,13.972964
125.3,148,14.55002
125.6,148,15.124584
126.3,148,15.712792
127.0,148,16.275188
126.2,148,16.846619
125.7,148,17.426557
126.3,148,18.002625
126.5,148,18.571011
125.1,148,19.147548
125.0,148,19.738524
126.9,148,20.32101
127.4,148,20.88171
125.9,148,24.514472
125.2,148,25.093128
125.7,148,25.664237
126.6,148,26.218866
125.5,148,26.780141
126.2,148,27.346013
126.8,148,27.924382
125.5,148,28.493379
125.9,148,29.055698
125.6,148,29.801463
127.0,148,30.3774
126.3,148,30.94847
126.9,148,31.526481
126.2,148,32.092621
125.8,148,35.700065
126.6,148,36.252412
127.0,148,36.811081
125.5,148,37.375291
126.6,148,37.940275
125.8,148,38.514097
126.5,148,39.072142
126.3,148,39.638517
127.1,148,40.194121
125.9,148,40.763836
127.5,148,41.332656
126.3,148,41.901113
126.0,148,42.469506
126.0,148,43.039037
126.1,148,46.659538
126.9,148,47.214627
127.2,148,47.77327
127.2,148,48.339395
127.1,148,48.896117
127.3,148,49.457258
127.6,148,50.003967
126.8,148,50.549891
127.2,148,51.115934
126.6,148,51.671185
127.6,148,52.228695
127.3,148,52.788388
126.5,148,53.353523
127.0,148,53.918182
125.6,148,57.551652
127.7,148,58.111021
127.6,148,58.677418
126.5,148,59.231461
127.1,148,59.779772
126.2,148,60.33518
126.1,148,60.89035
126.9,148,61.444917
126.4,148,62.001681
127.3,148,62.555228
126.7,148,63.11155
127.0,148,63.658198
127.4,148,64.221268
126.6,148,64.796785
127.0,148,68.38357
126.2,148,68.945019
126.6,148,69.509084
127.5,148,70.059427
126.1,148,70.61975
126.8,148,71.178463
126.9,148,71.731965
127.4,148,72.287578
126.5,148,72.849035
125.8,148,73.424797
126.2,148,73.993732
127.5,148,74.551211
127.2,148,75.104382
127.1,148,78.659175
126.3,148,79.233121
126.2,148,79.80672
126.1,148,80.378854
126.3,148,80.94804
126.3,148,81.51139
127.2,148,82.086241
126.5,148,82.643669
126.2,148,83.211287
125.8,148,83.770223
126.5,148,84.337301
126.9,148,84.887497
125.6,148,85.448384
125.3,148,86.012277
126.9,148,89.557101
126.3,148,90.116217
126.7,148,90.669699
127.2,148,91.233351
127.7,148,91.784519
126.5,148,92.33411
127.1,148,92.883739
125.8,148,93.453796
127.5,148,94.016816
127.2,148,94.569157
125.6,148,95.142474
126.9,148,95.699679
127.3,148,96.258969
127.7,148,96.810391
127.3,148,100.388644
127.6,148,100.941312
127.4,148,101.506011
126.6,148,102.059015
126.8,148,102.611817
126.5,148,103.170876
126.7,148,103.73902
126.9,148,104.301207
127.3,148,104.866615
126.9,148,105.425353
127.3,148,105.974616
126.8,148,106.534872
125.9,148,107.094605
126.7,148,107.65129
126.5,148,111.193017
126.8,148,111.753198
127.9,148,112.311759
127.7,148,112.871337
126.9,148,113.431777
126.7,148,113.996716
127.6,148,114.552144
126.9,148,115.103117
126.9,148,115.654703
127.0,148,116.212644
126.8,148,116.776783
126.2,148,117.342042
126.4,148,117.91122
127.8,148,118.460341
127.0,148,121.997625
126.4,148,122.56278
127.2,148,123.126386
127.6,148,123.678048
127.0,148,124.227835
127.7,148,124.793967
126.9,148,125.344183
127.2,148,125.918043
127.6,148,126.473012
127.1,148,127.035461
127.2,148,127.582455
