#{"t_start": 1681662628.7771873, "env_id": null}
r,l,t
36.0,72,2.357508
36.0,72,2.674805
36.0,72,2.989833
36.0,72,3.308156
36.0,72,3.623572
36.0,72,3.93808
36.0,72,4.252382
36.0,72,4.56747
36.0,72,4.881891
36.0,72,5.200499
36.0,72,5.516312
36.0,72,5.830468
36.0,72,6.149961
36.0,72,6.466125
36.0,72,6.780219
36.0,72,7.093122
36.0,72,7.406826
36.0,72,7.719708
36.0,72,8.034076
36.0,72,8.348961
36.0,72,8.663813
36.0,72,8.977795
36.0,72,9.292518
36.0,72,9.606294
36.0,72,9.919705
36.0,72,10.236535
36.0,72,10.549672
36.0,72,10.864265
