#{"t_start": 1681784261.0141373, "env_id": null}
r,l,t
102.0,180,2.875952
108.0,180,3.6624
117.0,180,4.383236
114.0,180,5.091217
112.0,180,5.811563
106.0,180,6.491235
110.0,180,7.197499
104.0,180,7.921874
106.0,180,8.61327
115.0,180,9.314305
119.0,180,10.027023
117.0,180,13.876716
108.0,180,14.56525
108.0,180,15.259876
118.0,180,15.96571
104.0,180,16.650961
115.0,180,17.353516
117.0,180,18.050927
106.0,180,18.741279
110.0,180,19.433868
112.0,180,20.137299
108.0,180,20.83224
114.0,180,24.63422
114.0,180,25.32987
113.0,180,26.013597
112.0,180,26.704907
109.0,180,27.393363
110.0,180,28.077077
109.0,180,28.764464
106.0,180,29.453826
115.0,180,30.289029
108.0,180,30.980586
115.0,180,31.674359
108.0,180,32.35857
113.0,180,36.149284
120.0,180,36.852423
111.0,180,37.547018
112.0,180,38.233648
116.0,180,38.932683
111.0,180,39.620995
108.0,180,40.308713
111.0,180,41.001607
118.0,180,41.696574
121.0,180,42.400541
103.0,180,43.077821
112.0,180,46.897695
113.0,180,47.597938
125.0,180,48.308829
123.0,180,49.009696
120.0,180,49.717634
121.0,180,50.420815
113.0,180,51.122319
118.0,180,51.819367
108.0,180,52.508574
111.0,180,53.201509
111.0,180,53.892457
105.0,180,57.702874
109.0,180,58.398409
118.0,180,59.099062
116.0,180,59.80291
112.0,180,60.496433
117.0,180,61.195956
104.0,180,61.878714
112.0,180,62.576567
112.0,180,63.267604
117.0,180,63.967739
111.0,180,64.655437
120.0,180,65.357644
116.0,180,69.170648
120.0,180,69.910964
120.0,180,70.615355
120.0,180,71.318693
122.0,180,72.024834
123.0,180,72.726892
122.0,180,73.459316
116.0,180,74.160895
121.0,180,74.891001
122.0,180,75.602899
119.0,180,76.308581
121.0,180,80.145755
119.0,180,80.845219
122.0,180,81.551742
118.0,180,82.248476
118.0,180,82.953622
113.0,180,83.64907
123.0,180,84.375618
120.0,180,85.080111
116.0,180,85.779251
118.0,180,86.482856
120.0,180,87.207489
112.0,180,87.897289
117.0,180,91.701863
120.0,180,92.424027
121.0,180,93.122175
122.0,180,93.846867
117.0,180,94.56844
119.0,180,95.268069
121.0,180,95.993713
117.0,180,96.690767
119.0,180,97.414976
120.0,180,98.13831
120.0,180,98.843883
117.0,180,102.61695
115.0,180,103.319188
122.0,180,104.029804
116.0,180,104.733304
119.0,180,105.446982
107.0,180,106.131174
110.0,180,106.820473
119.0,180,107.527271
115.0,180,108.251855
117.0,180,108.954638
121.0,180,109.665834
112.0,180,113.462326
113.0,180,114.159271
122.0,180,114.886961
120.0,180,115.610296
120.0,180,116.313858
113.0,180,117.005937
117.0,180,117.696469
118.0,180,118.39377
118.0,180,119.094328
114.0,180,119.794157
119.0,180,120.50233
112.0,180,121.19396
118.0,180,124.951959
121.0,180,125.656521
115.0,180,126.379029
115.0,180,127.074525
113.0,180,127.776502
121.0,180,128.484607
116.0,180,129.200597
118.0,180,129.933537
120.0,180,130.670009
120.0,180,131.374344
118.0,180,132.07933
116.0,180,135.898098
122.0,180,136.641315
119.0,180,137.341297
121.0,180,138.065645
124.0,180,138.790982
121.0,180,139.49988
122.0,180,140.233915
120.0,180,140.95488
122.0,180,141.662084
116.0,180,142.373799
123.0,180,143.080569
118.0,180,146.887955
122.0,180,147.6192
123.0,180,148.348731
122.0,180,149.089335
121.0,180,149.828732
122.0,180,150.567739
121.0,180,151.293894
124.0,180,152.003571
121.0,180,152.731562
123.0,180,153.475708
124.0,180,154.201164
123.0,180,154.924203
124.0,180,158.766567
122.0,180,159.494963
124.0,180,160.222049
116.0,180,160.941591
121.0,180,161.673531
123.0,180,162.412937
121.0,180,163.146192
122.0,180,163.871316
123.0,180,164.612764
120.0,180,165.324709
123.0,180,166.05863
122.0,180,169.853229
124.0,180,170.560739
120.0,180,171.285111
123.0,180,172.026051
121.0,180,172.753723
123.0,180,173.464428
122.0,180,174.203273
122.0,180,174.931711
124.0,180,175.676901
123.0,180,176.407439
121.0,180,177.14048
121.0,180,177.847278
123.0,180,181.632003
123.0,180,182.376028
124.0,180,183.12309
123.0,180,183.866273
125.0,180,184.595827
123.0,180,185.340849
121.0,180,186.065605
123.0,180,186.795666
121.0,180,187.534868
122.0,180,188.268941
123.0,180,189.007763
123.0,180,192.899962
123.0,180,193.64283
125.0,180,194.370758
125.0,180,195.119224
124.0,180,195.859925
124.0,180,196.602163
123.0,180,197.338946
120.0,180,198.076512
122.0,180,198.812834
123.0,180,199.558352
123.0,180,200.31593
123.0,180,204.201648
124.0,180,204.948145
124.0,180,205.674192
123.0,180,206.404716
123.0,180,207.148235
123.0,180,207.890339
124.0,180,208.636736
124.0,180,209.379997
124.0,180,210.12161
123.0,180,210.865024
124.0,180,211.589942
124.0,180,212.327022
123.0,180,216.224171
123.0,180,216.979565
124.0,180,217.748398
125.0,180,218.54588
123.0,180,219.299692
122.0,180,220.043282
125.0,180,220.790177
123.0,180,221.530245
122.0,180,222.274026
123.0,180,223.02025
124.0,180,223.764122
124.0,180,227.66446
124.0,180,228.40775
125.0,180,229.133534
123.0,180,229.877337
124.0,180,230.618526
124.0,180,231.361718
123.0,180,232.093873
122.0,180,232.838705
122.0,180,233.569859
124.0,180,234.297529
125.0,180,235.042912
122.0,180,238.921551
123.0,180,239.65977
125.0,180,240.403641
125.0,180,241.153671
125.0,180,241.899484
125.0,180,242.646375
123.0,180,243.391187
124.0,180,244.129696
124.0,180,244.867139
123.0,180,245.604941
125.0,180,246.34631
125.0,180,247.091745
125.0,180,251.006714
123.0,180,251.748397
123.0,180,252.493049
126.0,180,253.238846
124.0,180,253.983378
124.0,180,254.725978
123.0,180,255.465277
125.0,180,256.199669
125.0,180,256.93924
125.0,180,257.688031
124.0,180,258.428967
123.0,180,262.3775
121.0,180,263.118396
123.0,180,263.860054
124.0,180,264.597899
123.0,180,265.335159
123.0,180,266.079258
123.0,180,266.82092
123.0,180,267.563445
123.0,180,268.302886
123.0,180,269.038831
125.0,180,269.785097
122.0,180,270.528059
121.0,180,274.425921
124.0,180,275.171378
123.0,180,275.914583
124.0,180,276.660758
124.0,180,277.405069
124.0,180,278.151593
122.0,180,278.892714
124.0,180,279.637737
124.0,180,280.381267
122.0,180,281.109488
124.0,180,281.858694
124.0,180,285.761895
123.0,180,286.504743
123.0,180,287.247594
124.0,180,287.992104
122.0,180,288.728898
123.0,180,289.472157
125.0,180,290.218266
123.0,180,290.961555
123.0,180,291.705759
122.0,180,292.450382
123.0,180,293.19594
125.0,180,297.123661
123.0,180,297.884285
123.0,180,298.63651
124.0,180,299.376935
125.0,180,300.122906
123.0,180,300.874256
122.0,180,301.617699
124.0,180,302.37161
124.0,180,303.124557
122.0,180,303.868163
125.0,180,304.623883
124.0,180,305.356639
121.0,180,309.245647
123.0,180,309.989702
122.0,180,310.730469
122.0,180,311.469808
125.0,180,312.199444
123.0,180,312.944134
123.0,180,313.683197
123.0,180,314.419873
122.0,180,315.159482
123.0,180,315.897594
123.0,180,316.637123
127.0,180,320.575637
124.0,180,321.313572
121.0,180,322.054565
122.0,180,322.790231
122.0,180,323.532494
124.0,180,324.26345
122.0,180,324.99237
122.0,180,325.731674
122.0,180,326.472344
123.0,180,327.214535
124.0,180,327.958994
124.0,180,331.872426
122.0,180,332.617616
123.0,180,333.357718
124.0,180,334.101948
124.0,180,334.846332
123.0,180,335.587813
124.0,180,336.331131
125.0,180,337.061638
123.0,180,337.806029
125.0,180,338.552381
123.0,180,339.296369
123.0,180,340.040177
124.0,180,343.956731
124.0,180,344.701603
123.0,180,345.44497
123.0,180,346.19044
125.0,180,346.936316
124.0,180,347.678636
124.0,180,348.420993
124.0,180,349.166273
124.0,180,349.915653
125.0,180,350.658903
123.0,180,351.397833
123.0,180,355.262033
126.0,180,356.01065
125.0,180,356.760533
124.0,180,357.496666
124.0,180,358.240084
123.0,180,358.974392
123.0,180,359.716169
124.0,180,360.461459
123.0,180,361.206436
124.0,180,361.950285
125.0,180,362.697433
125.0,180,363.44501
122.0,180,367.328489
124.0,180,368.069623
123.0,180,368.813418
123.0,180,369.553728
122.0,180,370.296352
125.0,180,371.039406
124.0,180,371.782076
123.0,180,372.528929
125.0,180,373.273475
126.0,180,374.01983
124.0,180,374.768944
127.0,180,378.664721
123.0,180,379.410751
124.0,180,380.154077
123.0,180,380.898101
123.0,180,381.638644
123.0,180,382.37857
126.0,180,383.125494
125.0,180,383.871466
123.0,180,384.616832
124.0,180,385.362059
126.0,180,386.105257
124.0,180,390.031142
123.0,180,390.77159
123.0,180,391.517436
125.0,180,392.264044
123.0,180,393.005624
125.0,180,393.749808
126.0,180,394.494157
123.0,180,395.236043
122.0,180,395.976429
124.0,180,396.721259
124.0,180,397.465798
124.0,180,398.210831
125.0,180,402.093006
125.0,180,402.839911
125.0,180,403.587569
125.0,180,404.333809
124.0,180,405.076731
125.0,180,405.805384
124.0,180,406.5551
125.0,180,407.304332
125.0,180,408.054627
124.0,180,408.800322
124.0,180,409.543092
126.0,180,413.454453
126.0,180,414.182768
126.0,180,414.929219
125.0,180,415.688088
127.0,180,416.449897
123.0,180,417.235059
125.0,180,418.011814
124.0,180,418.783055
124.0,180,419.536213
126.0,180,420.285449
126.0,180,421.042842
123.0,180,425.192417
126.0,180,426.030952
125.0,180,426.785827
125.0,180,427.634927
124.0,180,428.392604
125.0,180,429.25744
126.0,180,430.174632
126.0,180,431.098165
123.0,180,431.903979
124.0,180,432.714966
124.0,180,433.471214
124.0,180,434.225508
125.0,180,438.071231
125.0,180,438.824449
124.0,180,439.579685
126.0,180,440.338266
126.0,180,441.096312
123.0,180,441.849886
126.0,180,442.60271
125.0,180,443.349694
127.0,180,444.106124
128.0,180,444.862615
124.0,180,445.607949
125.0,180,449.487641
124.0,180,450.220124
125.0,180,450.967649
127.0,180,451.716569
126.0,180,452.457301
123.0,180,453.204044
125.0,180,453.952222
126.0,180,454.703424
127.0,180,455.455136
127.0,180,456.20242
126.0,180,456.950154
126.0,180,457.699826
125.0,180,461.599783
125.0,180,462.345259
126.0,180,463.092743
125.0,180,463.837253
126.0,180,464.58246
125.0,180,465.326769
126.0,180,466.075079
124.0,180,466.818417
124.0,180,467.561502
125.0,180,468.310371
126.0,180,469.055178
125.0,180,472.994262
124.0,180,473.740167
124.0,180,474.486342
126.0,180,475.231236
125.0,180,475.9674
125.0,180,476.709033
127.0,180,477.458535
123.0,180,478.203244
125.0,180,478.948675
127.0,180,479.695889
127.0,180,480.444253
126.0,180,484.373244
123.0,180,485.114892
126.0,180,485.864421
125.0,180,486.61239
125.0,180,487.343973
123.0,180,488.086977
124.0,180,488.830304
124.0,180,489.572387
125.0,180,490.292593
125.0,180,491.036968
126.0,180,491.784054
124.0,180,492.529229
126.0,180,496.44672
125.0,180,497.192263
125.0,180,497.93732
123.0,180,498.676594
125.0,180,499.424318
126.0,180,500.171978
126.0,180,500.919327
124.0,180,501.665538
125.0,180,502.395409
125.0,180,503.140637
124.0,180,503.883403
126.0,180,507.757573
126.0,180,508.48778
124.0,180,509.248212
123.0,180,509.993105
125.0,180,510.744161
127.0,180,511.491752
124.0,180,512.238981
125.0,180,512.978004
124.0,180,513.720155
124.0,180,514.463927
124.0,180,515.207607
126.0,180,515.935223
124.0,180,519.893232
124.0,180,520.635741
124.0,180,521.407009
124.0,180,522.261722
125.0,180,523.032584
124.0,180,523.777221
124.0,180,524.552827
124.0,180,525.296468
123.0,180,526.037422
126.0,180,526.780272
124.0,180,527.522711
126.0,180,531.429809
125.0,180,532.174561
125.0,180,532.92206
126.0,180,533.668691
126.0,180,534.409344
125.0,180,535.151778
125.0,180,535.903845
124.0,180,536.66133
124.0,180,537.406787
124.0,180,538.176162
122.0,180,538.966107
126.0,180,542.929136
125.0,180,543.685198
124.0,180,544.443678
125.0,180,545.19141
126.0,180,545.950361
125.0,180,546.708812
125.0,180,547.494315
125.0,180,548.281812
125.0,180,549.056181
124.0,180,549.812396
125.0,180,550.579406
126.0,180,551.349895
125.0,180,555.247454
128.0,180,555.977505
127.0,180,556.728409
126.0,180,557.494657
127.0,180,558.251651
126.0,180,559.004709
126.0,180,559.759521
127.0,180,560.540503
127.0,180,561.28989
125.0,180,562.034648
126.0,180,562.781968
125.0,180,566.698756
128.0,180,567.469694
127.0,180,568.304599
127.0,180,569.118767
128.0,180,569.891516
128.0,180,570.670136
127.0,180,571.433339
127.0,180,572.195814
126.0,180,572.942092
127.0,180,573.708765
128.0,180,574.488924
126.0,180,578.433551
126.0,180,579.178527
126.0,180,579.929775
127.0,180,580.685591
126.0,180,581.431008
128.0,180,582.180396
127.0,180,582.92811
127.0,180,583.675816
127.0,180,584.434599
124.0,180,585.201948
125.0,180,585.982359
126.0,180,586.72797
127.0,180,590.621346
125.0,180,591.394247
127.0,180,592.191895
125.0,180,592.980924
126.0,180,593.739113
126.0,180,594.490683
126.0,180,595.247555
126.0,180,596.017006
128.0,180,596.808228
127.0,180,597.57779
127.0,180,598.338729
126.0,180,602.298781
129.0,180,603.068702
127.0,180,603.823313
128.0,180,604.580068
128.0,180,605.341464
128.0,180,606.141004
127.0,180,606.889163
128.0,180,607.647664
128.0,180,608.393327
127.0,180,609.139158
127.0,180,609.886184
128.0,180,610.634332
129.0,180,614.548024
127.0,180,615.299902
127.0,180,616.051204
128.0,180,616.794959
127.0,180,617.541764
127.0,180,618.287259
127.0,180,619.037884
128.0,180,619.805871
128.0,180,620.55091
129.0,180,621.341263
129.0,180,622.090505
129.0,180,626.03466
128.0,180,626.785259
128.0,180,627.527039
126.0,180,628.273693
128.0,180,629.02864
129.0,180,629.783854
128.0,180,630.555902
128.0,180,631.301987
127.0,180,632.048982
128.0,180,632.799105
128.0,180,633.558061
128.0,180,637.447099
129.0,180,638.230409
127.0,180,639.018505
128.0,180,639.792226
129.0,180,640.545197
127.0,180,641.299911
128.0,180,642.073143
128.0,180,642.82351
127.0,180,643.570171
130.0,180,644.318344
128.0,180,645.062106
127.0,180,645.811365
128.0,180,649.75715
128.0,180,650.544447
128.0,180,651.379424
127.0,180,652.13653
128.0,180,652.924635
