#{"t_start": 1681726715.6445847, "env_id": null}
r,l,t
53.5,156,2.730518
53.0,156,3.360115
51.1,156,4.025182
51.3,156,4.663199
51.7,156,5.289119
49.1,156,5.920059
49.5,156,6.55484
51.7,156,7.179291
52.3,156,7.801095
52.1,156,8.423209
50.5,156,9.046944
49.8,156,9.68017
51.4,156,10.299066
52.9,156,14.08477
54.0,156,14.694073
54.8,156,15.308091
53.2,156,15.924208
55.5,156,16.535399
53.9,156,17.143966
52.6,156,17.758799
53.2,156,18.373575
54.1,156,18.987538
53.2,156,19.602776
53.6,156,20.217586
53.5,156,20.841413
53.9,156,21.451793
55.2,156,25.232996
54.2,156,25.834564
56.6,156,26.437827
55.7,156,27.044254
54.7,156,27.652542
55.0,156,28.258176
55.6,156,28.854797
54.0,156,29.474832
54.7,156,30.080794
54.0,156,30.695403
52.7,156,31.313889
54.6,156,31.936361
53.4,156,32.541935
55.3,156,36.324477
55.1,156,36.937438
57.1,156,37.53845
54.4,156,38.140913
56.2,156,38.849738
56.5,156,39.448588
55.2,156,40.057576
57.2,156,40.657101
56.0,156,41.258465
56.7,156,41.851079
56.6,156,42.446486
53.5,156,43.074896
56.3,156,43.684186
57.0,156,47.427531
58.1,156,48.015165
57.0,156,48.620564
56.2,156,49.222302
58.6,156,49.823061
57.7,156,50.411822
57.0,156,51.010576
57.0,156,51.616566
56.1,156,52.2161
58.1,156,52.801609
56.9,156,53.397213
57.7,156,53.987867
56.5,156,54.595553
57.6,156,58.428514
58.3,156,59.015206
58.4,156,59.597058
57.0,156,60.206938
57.9,156,60.811037
58.3,156,61.401485
57.2,156,61.991599
58.1,156,62.579103
56.4,156,63.188847
58.8,156,63.791893
58.7,156,64.37874
57.5,156,64.987797
58.1,156,65.577908
58.2,156,69.383354
57.7,156,69.971637
57.5,156,70.575455
58.9,156,71.168046
57.8,156,71.762607
58.1,156,72.356489
58.3,156,72.952015
57.8,156,73.548593
57.9,156,74.141762
58.0,156,74.739368
57.9,156,75.340238
57.7,156,75.932523
57.3,156,76.538532
57.6,156,80.333624
58.4,156,80.933155
58.1,156,81.526323
57.0,156,82.135606
58.0,156,82.739372
57.3,156,83.342008
57.9,156,83.950189
57.1,156,84.563128
58.5,156,85.160645
57.1,156,85.810819
57.9,156,86.442496
57.5,156,87.072773
57.2,156,87.706371
57.5,156,88.31868
58.0,156,92.109566
56.5,156,92.716984
57.1,156,93.324937
57.4,156,93.951081
57.8,156,94.562436
57.9,156,95.153073
57.2,156,95.750634
57.2,156,96.343711
56.9,156,96.943229
56.6,156,97.542726
57.5,156,98.134112
56.7,156,98.739444
56.8,156,99.334228
56.9,156,103.145284
57.3,156,103.743013
57.7,156,104.337283
56.9,156,104.933199
56.5,156,105.535254
56.9,156,106.133897
57.8,156,106.724897
57.9,156,107.314677
57.0,156,107.917253
58.1,156,108.508632
57.8,156,109.106238
57.4,156,109.699698
57.6,156,110.29202
57.6,156,114.075454
57.3,156,114.673859
55.9,156,115.296944
58.9,156,115.884493
58.6,156,116.469539
57.5,156,117.062859
57.6,156,117.653518
58.8,156,118.234902
58.1,156,118.821338
58.4,156,119.405105
57.2,156,120.001963
57.6,156,120.596468
57.5,156,121.194067
58.1,156,124.965964
58.6,156,125.576304
58.1,156,126.174871
58.5,156,126.756935
58.2,156,127.346815
57.7,156,127.935805
57.3,156,128.537722
57.8,156,129.140951
58.4,156,129.735266
57.9,156,130.328965
58.1,156,130.919411
57.7,156,131.511431
57.7,156,132.107617
57.9,156,135.874827
57.8,156,136.468821
58.0,156,137.057248
57.6,156,137.660402
58.6,156,138.249742
57.9,156,138.854356
57.6,156,139.444506
58.3,156,140.034304
57.9,156,140.631034
58.2,156,141.225158
58.4,156,141.817407
57.3,156,142.421229
58.3,156,143.007258
57.9,156,146.805542
57.5,156,147.410361
58.3,156,148.016378
58.1,156,148.617401
58.7,156,149.206661
59.1,156,149.800585
58.2,156,150.393386
58.1,156,150.979194
58.0,156,151.5722
57.6,156,152.174412
57.7,156,152.762019
57.2,156,153.347593
57.1,156,153.94746
58.5,156,157.777945
57.5,156,158.372755
58.6,156,158.963464
58.4,156,159.556149
57.3,156,160.162372
57.8,156,160.753508
59.4,156,161.343025
58.2,156,161.931806
58.0,156,162.52561
58.8,156,163.115421
58.2,156,163.707105
57.4,156,164.297539
59.0,156,164.879625
58.7,156,168.650755
58.4,156,169.251751
58.9,156,169.835385
57.0,156,170.430683
58.6,156,171.01666
59.1,156,171.603215
57.4,156,172.21437
57.9,156,172.804805
57.5,156,173.399289
57.9,156,173.992145
58.8,156,174.578203
58.1,156,175.176661
