#{"t_start": 1681785565.3484714, "env_id": null}
r,l,t
71.65,116,2.572525
70.55,116,3.111324
69.9,116,3.619707
66.7,116,4.119692
70.1,116,4.624308
68.65,116,5.127453
69.85,116,5.623623
67.6,116,6.126154
68.3,116,6.638335
68.05,116,7.14339
70.5,116,7.644116
70.55,116,8.142142
70.2,116,8.642383
70.85,116,9.13804
65.8,116,9.643661
68.65,116,10.146827
68.5,116,10.64581
67.7,116,14.169472
71.35,116,14.656494
71.55,116,15.155875
71.35,116,15.656224
70.95,116,16.146817
68.7,116,16.64598
71.4,116,17.138096
72.45,116,17.622885
70.0,116,18.115684
69.35,116,18.617232
71.35,116,19.105489
72.1,116,19.619119
69.9,116,20.143089
70.8,116,20.641322
71.3,116,21.146879
71.9,116,21.643131
70.6,116,22.14469
70.7,116,22.64793
72.35,116,26.52053
71.35,116,27.021955
71.95,116,27.510384
72.7,116,27.996607
72.4,116,28.490567
72.2,116,28.985762
72.25,116,29.472741
72.45,116,29.966046
72.1,116,30.462684
72.6,116,30.950518
71.65,116,31.448632
72.0,116,32.131393
71.95,116,32.623114
72.2,116,33.112607
72.3,116,33.605241
71.8,116,34.094694
72.3,116,34.585342
72.25,116,38.403239
72.4,116,38.898785
72.3,116,39.40243
72.3,116,39.896447
72.15,116,40.390438
71.9,116,40.877569
70.65,116,41.374726
72.3,116,41.864572
71.8,116,42.357142
72.3,116,42.847502
71.75,116,43.340292
72.15,116,43.836712
72.3,116,44.324609
72.1,116,44.822709
72.35,116,45.319666
72.5,116,45.813404
71.1,116,46.310932
72.25,116,46.79831
72.4,116,50.623684
72.6,116,51.116489
72.2,116,51.609585
71.55,116,52.114697
72.25,116,52.60359
72.15,116,53.099167
72.75,116,53.595527
72.2,116,54.084745
72.0,116,54.586555
72.25,116,55.085369
72.0,116,55.582492
72.35,116,56.075701
72.05,116,56.579859
72.4,116,57.075665
72.25,116,57.566361
72.55,116,58.048159
72.45,116,58.570436
72.5,116,59.088765
72.5,116,62.98573
72.1,116,63.478348
72.55,116,63.971014
72.0,116,64.467832
72.0,116,64.970148
72.3,116,65.468487
72.6,116,65.960981
72.4,116,66.444929
72.2,116,66.939094
72.15,116,67.437189
72.65,116,67.924367
72.45,116,68.41732
72.1,116,68.914352
72.0,116,69.413393
72.1,116,69.90987
72.55,116,70.404726
72.35,116,70.897633
72.4,116,74.73314
72.6,116,75.230138
72.4,116,75.719329
72.05,116,76.216189
72.4,116,76.714125
72.25,116,77.201485
72.35,116,77.699256
72.35,116,78.193441
72.0,116,78.681238
72.0,116,79.179799
72.5,116,79.673924
72.2,116,80.165249
71.95,116,80.652919
71.55,116,81.157327
72.35,116,81.638417
72.65,116,82.131822
72.25,116,82.62351
72.25,116,83.118373
72.15,116,86.978662
71.9,116,87.474644
70.65,116,87.977723
72.3,116,88.474405
72.0,116,88.979794
72.35,116,89.477202
72.25,116,89.971819
71.75,116,90.467207
72.2,116,90.962536
72.0,116,91.451638
72.1,116,91.946467
72.4,116,92.439841
72.25,116,92.936257
72.25,116,93.431269
72.0,116,93.927894
72.4,116,94.429226
72.2,116,94.930626
72.35,116,95.425915
72.45,116,99.301911
72.4,116,99.797105
72.15,116,100.289938
72.15,116,100.782386
72.05,116,101.278903
72.45,116,101.770585
71.95,116,102.25979
72.4,116,102.757974
72.2,116,103.248867
72.05,116,103.743783
72.1,116,104.242674
72.1,116,104.740272
72.0,116,105.241843
70.65,116,105.745712
72.1,116,106.241734
72.35,116,106.735815
72.3,116,107.229644
72.45,116,111.130072
72.35,116,111.633076
72.4,116,112.125889
72.5,116,112.610761
72.25,116,113.096647
72.35,116,113.591668
72.1,116,114.087395
72.35,116,114.578174
72.5,116,115.069907
72.35,116,115.568885
72.35,116,116.057505
72.5,116,116.548214
72.25,116,117.046344
72.4,116,117.54232
72.15,116,118.041708
72.05,116,118.5334
72.5,116,119.023252
72.55,116,119.514095
72.1,116,123.357331
72.0,116,123.845334
72.3,116,124.34139
72.3,116,124.840581
72.35,116,125.336627
72.2,116,125.8316
72.35,116,126.329605
72.3,116,126.825193
72.25,116,127.322333
72.3,116,127.821844
72.5,116,128.318188
72.75,116,128.81117
72.05,116,129.308182
72.65,116,129.801318
72.6,116,130.298357
72.2,116,130.79448
72.5,116,131.287482
72.5,116,131.783977
72.7,116,135.67912
72.45,116,136.172506
