#{"t_start": 1681725785.2719347, "env_id": null}
r,l,t
54.2,148,2.595714
52.5,148,3.196554
51.7,148,3.814668
51.5,148,4.415985
51.8,148,5.009944
49.4,148,5.615231
52.3,148,6.206758
50.4,148,6.805904
53.4,148,7.390104
52.7,148,7.976799
52.1,148,8.574049
49.1,148,9.182869
49.5,148,9.792483
49.7,148,13.564966
53.4,148,14.153468
53.0,148,14.742683
53.3,148,15.337207
51.4,148,15.938264
55.5,148,16.520274
54.2,148,17.101389
51.3,148,17.703117
52.7,148,18.290801
53.8,148,18.876066
52.6,148,19.468367
50.9,148,20.074994
54.8,148,20.661562
55.2,148,21.243233
51.6,148,24.975541
53.6,148,25.57397
53.0,148,26.1623
55.6,148,26.738036
54.3,148,27.319222
53.9,148,27.905633
55.1,148,28.483015
53.0,148,29.074369
54.8,148,29.657308
52.9,148,30.252577
54.3,148,30.863111
52.8,148,31.457669
54.5,148,32.071225
54.1,148,32.654188
53.6,148,36.404935
56.7,148,36.975353
56.9,148,37.551026
56.2,148,38.123089
56.6,148,38.702845
55.9,148,39.385328
55.5,148,39.955825
56.6,148,40.536798
57.3,148,41.102836
56.5,148,41.678777
55.5,148,42.262479
57.2,148,42.832681
55.0,148,43.409124
56.0,148,43.982843
55.6,148,46.101102
57.3,148,46.673279
57.6,148,47.243559
57.0,148,47.829889
58.1,148,48.393662
56.8,148,49.007801
58.0,148,49.573477
57.7,148,50.138336
56.8,148,50.72595
56.9,148,51.299607
56.8,148,51.87755
57.1,148,52.461461
57.0,148,53.031987
58.3,148,53.589054
58.1,148,55.693418
57.4,148,56.261339
57.4,148,56.832855
56.5,148,57.406884
57.5,148,57.973426
57.0,148,58.540767
56.4,148,59.1172
57.1,148,59.691933
56.3,148,60.262975
57.6,148,60.832549
57.0,148,61.392984
57.6,148,61.952093
57.0,148,62.51964
56.9,148,63.089206
56.9,148,65.209623
57.1,148,65.7839
57.7,148,66.349804
56.8,148,66.919906
57.4,148,67.484674
56.6,148,68.054832
57.1,148,68.621059
56.7,148,69.195992
58.0,148,69.758942
57.4,148,70.326108
55.9,148,70.906431
57.1,148,71.477907
57.0,148,72.052006
57.0,148,74.173143
56.9,148,74.76869
56.9,148,75.360193
57.7,148,75.954324
56.7,148,76.556359
57.0,148,77.142245
56.6,148,77.738573
57.1,148,78.337878
56.8,148,78.934842
56.6,148,79.531666
57.3,148,80.126069
57.5,148,80.714216
56.3,148,81.308666
57.2,148,81.898573
56.9,148,84.029562
56.7,148,84.601213
56.6,148,85.165268
57.3,148,85.73222
56.7,148,86.296878
56.9,148,86.872924
56.6,148,87.440198
56.7,148,88.010679
57.0,148,88.584033
56.4,148,89.149215
55.9,148,89.72679
57.1,148,90.294649
56.7,148,90.869483
56.6,148,91.439252
56.1,148,95.209578
56.5,148,95.826905
57.4,148,96.395508
58.3,148,96.996158
57.3,148,97.610354
57.3,148,98.204254
56.7,148,98.793514
56.3,148,99.406979
57.2,148,99.976011
56.3,148,100.588924
57.0,148,101.184863
56.6,148,101.759357
57.2,148,102.329518
55.9,148,102.919604
57.1,148,106.671008
56.5,148,107.244535
56.3,148,107.815051
56.6,148,108.388393
57.4,148,108.952416
57.8,148,109.512745
56.8,148,110.080786
56.8,148,110.645827
57.1,148,111.216851
56.9,148,111.78332
55.9,148,112.364131
56.2,148,112.944438
56.2,148,113.526644
57.8,148,114.101268
56.3,148,117.941675
57.5,148,118.50653
56.8,148,119.175293
57.1,148,119.753774
57.5,148,120.321685
57.7,148,120.889379
56.7,148,121.463495
57.0,148,122.037068
56.9,148,122.608603
56.3,148,123.179761
57.4,148,123.745656
57.0,148,124.312925
57.3,148,124.878238
56.3,148,125.460677
56.7,148,129.246408
58.0,148,129.808227
56.9,148,130.381546
56.8,148,130.959059
58.0,148,131.528988
58.2,148,132.086211
57.6,148,132.661302
57.4,148,133.220655
57.7,148,133.796041
57.3,148,134.366747
57.0,148,134.936879
56.7,148,135.51373
57.2,148,136.075936
57.6,148,139.849269
58.2,148,140.407861
56.9,148,140.980089
57.0,148,141.564923
58.2,148,142.121629
57.6,148,142.685494
57.7,148,143.264205
57.5,148,143.829797
57.0,148,144.403472
57.8,148,144.972684
57.8,148,145.536237
58.0,148,146.096068
57.8,148,146.667736
57.7,148,147.249102
57.5,148,150.943463
57.4,148,151.527821
58.0,148,152.112036
58.1,148,152.687759
57.8,148,153.279242
58.1,148,153.884485
58.3,148,154.465444
57.5,148,155.040626
58.0,148,155.636585
57.7,148,156.221026
56.9,148,156.788548
58.0,148,157.363134
58.0,148,157.918131
57.7,148,158.490241
57.6,148,162.21185
59.2,148,162.775647
58.5,148,163.38645
57.9,148,163.971172
58.0,148,164.554135
57.6,148,165.125725
57.5,148,165.711628
58.1,148,166.269118
57.9,148,166.839701
57.2,148,167.419081
58.3,148,167.979324
57.8,148,168.558356
58.5,148,169.121031
58.4,148,169.692822
57.5,148,173.447134
58.4,148,174.032167
58.1,148,174.618901
58.3,148,175.182343
58.6,148,175.759577
58.3,148,176.337809
58.5,148,176.89594
58.7,148,177.453743
57.8,148,178.016256
58.4,148,178.574358
58.0,148,179.143098
58.7,148,179.698466
58.2,148,180.270947
58.2,148,180.83237
58.7,148,184.678688
58.7,148,185.350644
58.5,148,186.034166
58.4,148,186.711892
58.3,148,187.390886
58.7,148,188.067227
58.4,148,188.739913
57.7,148,189.414845
58.8,148,190.084895
58.2,148,190.76634
58.5,148,191.446041
58.3,148,192.155
57.3,148,192.867222
58.1,148,193.549134
58.6,148,197.437809
58.8,148,198.108842
58.2,148,198.798812
57.8,148,199.487368
58.7,148,200.187702
57.8,148,200.872557
58.6,148,201.558008
58.4,148,202.246441
58.4,148,202.9318
58.6,148,203.604388
58.3,148,204.277595
58.3,148,204.952681
58.6,148,205.623983
58.6,148,209.570312
58.4,148,210.309467
58.8,148,210.978038
58.6,148,211.74815
58.7,148,212.469071
58.4,148,213.145042
