#{"t_start": 1681663850.825659, "env_id": null}
r,l,t
52.9,132,1.229307
51.2,132,2.430948
50.0,132,3.652269
49.2,132,4.887241
51.8,132,6.115681
51.5,132,7.30164
52.3,132,8.495866
49.2,132,9.727448
51.6,132,10.921621
51.3,132,12.099947
51.6,132,13.313582
50.5,132,14.482968
52.5,132,15.688275
50.2,132,16.927474
50.3,132,18.201679
50.8,132,23.337383
53.7,132,24.607481
53.4,132,25.800401
54.5,132,26.979197
54.2,132,28.113497
52.4,132,29.258426
52.0,132,30.422261
52.7,132,31.582772
52.5,132,32.723828
52.5,132,33.904073
51.4,132,35.085601
53.8,132,36.296945
52.1,132,37.575505
53.3,132,38.816352
51.1,132,40.076527
54.4,132,41.199299
51.8,132,46.287123
54.6,132,47.477965
53.8,132,48.665216
54.2,132,49.807098
53.6,132,50.948555
54.4,132,52.124313
56.1,132,53.249007
52.9,132,54.444271
54.8,132,55.619239
53.5,132,56.767476
53.8,132,57.981895
55.6,132,59.229842
54.9,132,60.467191
54.6,132,61.622517
55.7,132,62.741003
53.8,132,68.133501
56.4,132,69.343377
55.6,132,70.512165
53.5,132,71.684814
55.5,132,72.832614
56.5,132,73.98996
54.5,132,75.153147
55.7,132,76.344666
