#{"t_start": 1689319522.1386993, "env_id": null}
r,l,t
53.0,84,2.918643
74.0,84,3.558682
71.0,84,4.153344
74.0,84,4.67957
74.0,84,5.219549
75.0,84,5.776378
75.0,84,6.306412
74.0,84,6.856112
75.0,84,7.39721
74.0,84,7.925116
74.0,84,8.4753
75.0,84,9.0107
75.0,84,9.565778
75.0,84,10.120135
75.0,84,10.672722
74.0,84,11.20463
74.0,84,11.88046
74.0,84,12.448923
75.0,84,13.224937
75.0,84,13.754796
75.0,84,14.307427
75.0,84,14.854161
75.0,84,15.441645
75.0,84,16.009887
75.0,84,16.570296
75.0,84,17.117428
75.0,84,17.67244
75.0,84,18.24888
75.0,84,18.810195
75.0,84,19.360454
75.0,84,19.931573
75.0,84,20.740539
75.0,84,21.297598
75.0,84,21.848202
75.0,84,22.382343
75.0,84,23.049644
75.0,84,23.635547
75.0,84,24.173032
75.0,84,24.733641
75.0,84,25.316347
75.0,84,25.852371
75.0,84,26.397457
75.0,84,26.954798
75.0,84,27.47968
75.0,84,28.002425
75.0,84,28.536011
75.0,84,29.074065
75.0,84,29.610128
75.0,84,30.238904
75.0,84,30.872913
75.0,84,31.538071
75.0,84,32.158734
75.0,84,32.781428
75.0,84,33.454407
75.0,84,34.10107
75.0,84,34.761725
75.0,84,35.426147
75.0,84,36.056258
75.0,84,36.710875
75.0,84,37.360774
75.0,84,38.009525
75.0,84,38.663258
75.0,84,39.300141
75.0,84,39.962002
75.0,84,40.605059
75.0,84,41.268436
75.0,84,41.885191
75.0,84,42.522497
75.0,84,43.186003
75.0,84,43.990244
75.0,84,44.654114
75.0,84,45.323034
75.0,84,45.959151
75.0,84,46.629548
75.0,84,47.286681
75.0,84,47.937186
75.0,84,48.577285
75.0,84,49.195215
75.0,84,49.799305
75.0,84,50.434816
75.0,84,51.083644
75.0,84,51.745897
75.0,84,52.403526
75.0,84,53.076059
75.0,84,53.697787
75.0,84,54.337628
75.0,84,55.008615
75.0,84,55.656209
75.0,84,56.315046
75.0,84,56.963498
75.0,84,57.616821
75.0,84,58.294175
75.0,84,58.957329
75.0,84,59.644143
75.0,84,60.284267
75.0,84,60.951801
75.0,84,61.629096
75.0,84,62.295855
75.0,84,62.931985
75.0,84,63.562661
75.0,84,64.482503
75.0,84,65.903847
75.0,84,66.678555
75.0,84,67.326705
75.0,84,68.310547
75.0,84,69.094699
75.0,84,69.653054
75.0,84,70.209077
75.0,84,70.746011
75.0,84,71.299185
75.0,84,71.852402
75.0,84,72.411456
75.0,84,72.948837
75.0,84,73.509211
75.0,84,74.068151
75.0,84,74.603399
75.0,84,75.158111
75.0,84,75.707417
75.0,84,76.258172
75.0,84,76.79429
75.0,84,77.346668
75.0,84,77.890057
75.0,84,78.429448
75.0,84,78.993091
75.0,84,79.541502
75.0,84,80.081183
75.0,84,80.640402
75.0,84,81.201815
75.0,84,81.747728
75.0,84,82.297749
75.0,84,82.852239
75.0,84,83.54567
75.0,84,84.079337
75.0,84,84.775291
75.0,84,85.947388
75.0,84,87.169242
75.0,84,87.707469
75.0,84,88.245894
75.0,84,88.798928
75.0,84,89.321882
75.0,84,89.847914
75.0,84,90.504275
75.0,84,91.122819
75.0,84,91.662252
75.0,84,92.206171
75.0,84,92.725363
75.0,84,93.265943
75.0,84,93.788345
75.0,84,94.32813
75.0,84,94.865365
75.0,84,95.426895
75.0,84,95.956603
75.0,84,96.5224
75.0,84,97.07014
75.0,84,97.588803
75.0,84,98.145818
75.0,84,98.685672
75.0,84,99.25489
75.0,84,99.806246
75.0,84,100.36212
75.0,84,100.891029
75.0,84,101.446625
75.0,84,101.997506
75.0,84,102.551014
75.0,84,103.219841
75.0,84,103.744786
75.0,84,104.267867
75.0,84,104.815549
75.0,84,105.329794
75.0,84,105.84496
75.0,84,106.362967
75.0,84,106.913234
75.0,84,107.451796
75.0,84,108.004549
75.0,84,108.524915
75.0,84,109.07062
75.0,84,109.60565
75.0,84,110.160174
75.0,84,110.681934
75.0,84,111.203332
75.0,84,111.742574
75.0,84,112.266965
75.0,84,112.82219
75.0,84,113.351314
75.0,84,113.897906
75.0,84,114.464514
75.0,84,114.974445
75.0,84,115.53189
75.0,84,116.049273
75.0,84,116.619293
75.0,84,117.152565
75.0,84,117.72394
75.0,84,118.331852
75.0,84,118.931771
75.0,84,119.450194
75.0,84,119.999553
75.0,84,120.5335
75.0,84,121.087486
75.0,84,121.632191
75.0,84,122.187416
75.0,84,122.897115
75.0,84,123.56778
75.0,84,124.104703
75.0,84,124.707778
75.0,84,125.253062
75.0,84,125.882522
75.0,84,126.423584
75.0,84,126.979354
75.0,84,127.541167
75.0,84,128.071802
75.0,84,128.630975
75.0,84,129.196106
75.0,84,129.752935
75.0,84,130.302738
75.0,84,130.849914
75.0,84,131.413584
75.0,84,131.972261
75.0,84,132.51835
75.0,84,133.225583
75.0,84,134.04174
75.0,84,135.094302
75.0,84,135.624861
75.0,84,136.182085
75.0,84,136.742145
75.0,84,137.272025
75.0,84,137.824896
75.0,84,138.357034
75.0,84,138.928838
75.0,84,139.450013
75.0,84,139.997317
75.0,84,140.538771
75.0,84,141.103582
75.0,84,141.649845
75.0,84,142.226866
75.0,84,142.996497
75.0,84,143.582643
75.0,84,144.150061
75.0,84,144.736717
75.0,84,145.306961
75.0,84,145.850697
75.0,84,146.404795
75.0,84,146.948123
75.0,84,147.51919
75.0,84,148.074122
75.0,84,148.598619
75.0,84,149.16334
75.0,84,149.739314
75.0,84,150.27589
75.0,84,150.846783
75.0,84,151.397683
75.0,84,151.932152
75.0,84,152.482193
75.0,84,153.012137
75.0,84,153.550981
75.0,84,154.097203
