#{"t_start": 1681663993.189967, "env_id": null}
r,l,t
52.9,148,1.033952
51.5,148,2.094919
50.6,148,3.197366
51.1,148,4.296764
50.6,148,5.380536
52.0,148,6.428322
51.7,148,7.455894
51.6,148,8.498526
52.2,148,9.547031
51.6,148,10.577352
51.4,148,11.627799
53.1,148,12.692297
49.6,148,13.785618
51.6,148,18.065095
52.8,148,19.083436
53.5,148,20.122504
55.4,148,21.192018
54.2,148,22.26271
51.9,148,23.34691
54.5,148,24.367574
51.4,148,25.428055
52.6,148,26.481325
50.1,148,27.588161
53.1,148,28.682472
51.9,148,29.803018
53.5,148,30.891219
52.0,148,31.949324
53.0,148,36.304011
54.8,148,37.341621
55.7,148,38.433186
52.6,148,39.527567
53.8,148,40.584842
55.8,148,41.605307
56.7,148,42.610332
53.6,148,43.646958
52.7,148,44.673944
53.1,148,45.7284
53.7,148,46.802101
56.7,148,47.853317
55.4,148,48.860415
56.8,148,49.83304
53.7,148,54.189332
57.6,148,55.22883
57.6,148,56.294959
56.5,148,57.302803
55.4,148,58.331079
57.2,148,59.311156
56.4,148,60.294095
57.4,148,61.268835
56.9,148,62.252968
56.9,148,63.331249
54.6,148,64.421416
56.7,148,65.502549
57.6,148,66.48887
57.2,148,67.508711
57.6,148,71.926993
57.2,148,73.00992
56.3,148,74.070559
57.5,148,75.108943
56.4,148,76.14368
58.1,148,77.166885
56.9,148,78.1603
57.7,148,79.164258
56.3,148,80.162575
57.0,148,81.208013
57.3,148,82.267629
57.4,148,83.320355
57.6,148,84.30861
57.3,148,85.278222
57.0,148,89.726253
57.7,148,90.713516
57.3,148,91.706407
57.1,148,92.719593
56.9,148,93.737275
57.7,148,94.757051
57.0,148,95.770926
57.9,148,96.747499
57.0,148,97.803243
56.9,148,98.901534
57.2,148,99.978609
57.3,148,100.980503
56.9,148,101.938354
57.8,148,102.889369
57.3,148,107.278996
57.3,148,108.269698
57.5,148,109.252324
57.1,148,110.262625
57.5,148,111.281466
58.0,148,112.282113
58.1,148,113.245651
56.7,148,114.289515
57.6,148,115.351142
58.0,148,116.396024
57.8,148,117.415898
56.9,148,118.418405
57.8,148,119.418103
58.0,148,123.980511
57.2,148,125.022509
57.4,148,126.069454
58.6,148,127.075088
56.6,148,128.087856
57.6,148,129.066927
57.5,148,130.037142
57.5,148,130.983795
57.4,148,132.024601
58.4,148,133.065817
57.8,148,134.173396
58.2,148,135.149047
57.9,148,136.156561
57.3,148,137.136488
57.5,148,141.707308
58.1,148,142.698165
57.9,148,143.701488
57.3,148,144.703278
57.5,148,145.722538
56.8,148,146.743924
58.0,148,147.747479
57.7,148,148.762481
57.0,148,149.834066
56.9,148,150.902334
57.4,148,151.966828
58.2,148,153.009408
57.6,148,154.060216
57.6,148,155.103828
57.4,148,159.564369
58.6,148,160.537083
57.4,148,161.510061
57.8,148,162.490322
57.3,148,163.490093
58.4,148,164.531822
57.5,148,165.574168
57.5,148,166.642907
57.7,148,167.715924
58.9,148,168.742044
58.6,148,169.78059
57.9,148,170.822166
58.0,148,171.865202
57.3,148,172.964811
58.2,148,177.362684
57.9,148,178.40574
57.3,148,179.429434
58.2,148,180.428008
56.8,148,181.485594
57.5,148,182.522643
58.0,148,183.535519
57.3,148,184.609796
57.3,148,185.689282
57.2,148,186.811724
57.3,148,187.895199
56.1,148,188.971267
57.0,148,190.083961
58.0,148,191.171493
58.2,148,195.486486
57.3,148,196.503688
58.5,148,197.501448
57.4,148,198.502579
58.1,148,199.516629
58.4,148,200.523173
57.8,148,201.524077
58.0,148,202.557011
57.7,148,203.620173
58.0,148,204.745723
58.1,148,205.898159
57.1,148,207.042603
58.8,148,208.188003
57.3,148,209.03758
57.3,148,213.122466
57.7,148,214.157535
57.4,148,215.211862
57.8,148,216.206983
57.2,148,217.257195
57.7,148,218.298434
57.8,148,219.321304
57.4,148,220.34059
58.8,148,221.399563
57.5,148,222.37782
57.2,148,223.453582
57.5,148,224.520451
57.2,148,225.633013
57.9,148,230.121152
56.9,148,231.128206
57.9,148,232.129891
58.0,148,233.105392
58.1,148,234.068051
57.8,148,235.023808
57.2,148,236.059796
57.0,148,237.076406
57.8,148,238.075362
58.7,148,239.03233
57.5,148,239.901781
56.6,148,240.682024
58.1,148,241.451382
57.5,148,242.271175
57.9,148,246.052523
57.4,148,246.63503
58.0,148,247.202381
57.9,148,247.766417
58.0,148,248.348016
57.6,148,248.918008
58.7,148,249.47284
56.5,148,250.054011
58.4,148,250.613693
57.4,148,251.185714
57.5,148,251.768092
57.8,148,252.339343
57.3,148,252.910504
57.9,148,253.474532
57.6,148,257.051801
58.1,148,257.626512
58.0,148,258.204854
58.2,148,258.78591
56.8,148,259.363611
58.0,148,259.933821
58.1,148,260.507552
57.6,148,261.074073
57.3,148,261.674168
56.5,148,262.272339
56.4,148,262.854122
57.4,148,263.425398
