#{"t_start": 1681641277.6390336, "env_id": null}
r,l,t
49.0,504,2.022711
54.8,504,4.014925
49.3,504,6.025652
51.3,504,8.025589
52.9,504,13.094854
53.9,504,15.088418
52.9,504,16.992359
51.3,504,18.628573
53.0,504,23.223786
54.3,504,24.881808
51.9,504,26.501246
54.0,504,28.141241
53.0,504,32.778467
53.8,504,34.407161
53.7,504,36.03189
53.5,504,37.656239
53.7,504,42.259072
54.6,504,43.875255
54.8,504,45.496086
54.3,504,47.123404
55.1,504,51.728508
54.5,504,53.356665
56.5,504,54.945432
56.0,504,56.575547
56.0,504,61.1638
56.4,504,62.774777
57.2,504,64.35308
56.1,504,65.959702
57.0,504,70.573346
57.0,504,72.217174
57.2,504,73.816189
57.7,504,75.430243
57.2,504,80.051191
56.9,504,81.673053
57.8,504,83.285577
57.1,504,84.905066
57.7,504,89.485845
56.7,504,91.164447
56.9,504,92.805149
57.4,504,94.425862
58.0,504,99.061564
57.9,504,100.69391
57.9,504,102.310372
57.9,504,103.917949
57.3,504,108.547178
57.9,504,110.160102
58.1,504,111.752222
57.0,504,113.385431
57.2,504,117.962438
57.7,504,119.630031
57.1,504,121.248112
57.5,504,122.915544
57.3,504,127.535718
57.0,504,129.153192
57.3,504,130.76446
57.6,504,132.38573
57.8,504,136.995079
56.8,504,138.627062
57.4,504,140.253729
57.4,504,141.878189
58.1,504,146.471544
57.5,504,148.095587
57.5,504,149.744383
57.8,504,151.345942
58.0,504,153.005732
58.8,504,157.617655
57.3,504,159.238243
57.9,504,160.908624
57.3,504,162.555845
58.0,504,167.17524
57.4,504,168.801076
58.5,504,170.418856
58.2,504,172.047096
58.4,504,176.634674
58.6,504,178.252137
58.5,504,179.860908
57.9,504,181.475507
58.3,504,186.117246
58.0,504,187.760497
58.0,504,189.381656
57.5,504,190.998976
58.2,504,195.62648
58.8,504,197.237034
57.5,504,198.858684
58.6,504,200.475782
57.9,504,205.092336
58.5,504,206.712341
59.0,504,208.325511
58.8,504,209.933541
58.4,504,214.515801
58.0,504,216.133531
57.3,504,217.758984
58.4,504,219.371896
58.2,504,223.976581
57.9,504,225.588363
58.2,504,227.197492
58.0,504,228.857254
58.2,504,233.479804
57.4,504,235.101604
58.3,504,236.779632
57.6,504,238.39815
58.1,504,243.346316
57.1,504,244.969998
57.6,504,246.589205
57.7,504,248.20629
57.1,504,253.877715
56.9,504,255.514524
57.9,504,257.129679
58.1,504,258.741617
58.0,504,264.060975
57.6,504,265.670647
57.5,504,267.279399
56.8,504,268.905422
57.8,504,274.541876
57.9,504,276.192815
57.4,504,277.819394
57.5,504,279.509899
57.2,504,285.185225
58.3,504,286.788853
58.1,504,288.401586
58.0,504,290.084331
57.1,504,295.736763
58.5,504,297.356726
58.1,504,298.976446
58.1,504,300.595575
57.7,504,305.30824
58.2,504,306.92485
58.8,504,308.546927
58.8,504,310.150504
58.5,504,311.774387
58.6,504,316.363091
57.8,504,317.986036
58.7,504,319.597388
58.5,504,321.207734
58.4,504,325.797546
57.6,504,327.413435
58.2,504,329.034117
58.2,504,330.705825
59.0,504,335.322143
58.1,504,336.944294
58.4,504,338.613439
58.6,504,340.224692
58.8,504,344.806819
58.3,504,346.425618
59.0,504,348.02492
58.0,504,349.63098
58.6,504,354.220272
58.4,504,355.837583
58.4,504,357.453477
58.9,504,359.06764
58.4,504,363.653298
59.3,504,365.255411
59.1,504,366.866727
58.8,504,368.483268
59.0,504,373.102146
59.1,504,374.708242
58.9,504,376.321956
59.1,504,377.931437
58.5,504,382.52093
58.4,504,384.114537
58.2,504,385.728303
58.4,504,387.338932
58.5,504,391.82979
58.0,504,393.429892
58.5,504,395.018954
58.3,504,396.607713
58.5,504,401.215448
58.9,504,402.860336
58.8,504,404.457975
58.5,504,406.05971
58.5,504,410.694295
58.9,504,412.250579
58.6,504,413.84534
58.3,504,415.425776
58.7,504,420.002909
59.0,504,421.607344
58.2,504,423.190161
58.4,504,424.793159
59.0,504,429.375874
58.5,504,430.989335
58.3,504,432.595466
58.7,504,434.205381
58.3,504,438.78917
58.3,504,440.40197
58.7,504,442.031066
58.3,504,443.645376
58.2,504,448.234466
58.3,504,449.843024
58.3,504,451.447983
58.5,504,453.060481
58.6,504,457.665074
58.2,504,459.296313
58.3,504,460.904197
58.3,504,462.496814
58.9,504,464.097415
57.8,504,468.675032
58.1,504,470.291403
58.3,504,471.906558
57.6,504,473.564139
