#{"t_start": 1681727625.5965943, "env_id": null}
r,l,t
53.5,180,2.672759
51.8,180,3.351191
50.1,180,4.060937
50.2,180,4.74175
51.1,180,5.428891
52.9,180,6.106429
51.1,180,6.789357
51.7,180,7.45457
53.6,180,8.119174
49.7,180,8.81547
49.3,180,9.505962
50.8,180,13.178117
52.5,180,13.852883
54.5,180,14.517014
51.9,180,15.188554
54.8,180,15.853126
51.5,180,16.520923
52.1,180,17.181243
54.7,180,17.823299
52.2,180,18.48473
52.7,180,19.151545
53.4,180,19.813809
52.4,180,23.477864
52.5,180,24.138032
53.5,180,24.806203
52.8,180,25.480337
54.0,180,26.13589
54.9,180,26.798666
53.1,180,27.459144
53.8,180,28.122668
53.3,180,28.779952
51.5,180,29.44662
53.8,180,30.254852
53.0,180,30.91775
53.4,180,34.584703
52.5,180,35.255542
53.6,180,35.919365
54.7,180,36.57506
52.9,180,37.249226
54.8,180,37.899709
55.6,180,38.553733
55.7,180,39.207152
54.4,180,39.865819
54.0,180,40.519785
55.2,180,41.172854
54.4,180,44.810847
57.1,180,45.461153
56.4,180,46.119045
54.5,180,46.772839
54.3,180,47.432058
56.7,180,48.073297
57.4,180,48.723119
56.2,180,49.365824
57.5,180,50.006277
57.2,180,50.652672
57.2,180,51.29349
58.3,180,54.895741
57.9,180,55.529796
57.9,180,56.168959
57.5,180,56.81574
58.6,180,57.45182
58.0,180,58.100773
57.9,180,58.749438
57.1,180,59.401926
58.8,180,60.042326
57.4,180,60.683853
57.8,180,61.318178
58.2,180,61.964749
57.3,180,65.559357
58.4,180,66.190187
59.2,180,66.824911
57.3,180,67.471804
58.3,180,68.114827
58.2,180,68.74842
58.5,180,69.398104
59.1,180,70.031471
58.4,180,70.671017
58.8,180,71.307944
58.8,180,71.945791
58.8,180,75.556342
58.8,180,76.192801
58.9,180,76.82381
57.8,180,77.471497
59.0,180,78.103038
58.6,180,78.760059
57.9,180,79.397428
59.2,180,80.030346
58.3,180,80.667306
58.2,180,81.312492
57.9,180,81.954595
58.0,180,82.596159
59.2,180,86.201974
57.7,180,86.853326
58.7,180,87.496907
59.3,180,88.131771
57.9,180,88.775768
58.1,180,89.433679
58.7,180,90.080073
58.9,180,90.717069
57.4,180,91.366493
58.1,180,92.009004
57.7,180,92.649064
58.2,180,96.263103
59.5,180,96.891336
58.9,180,97.530255
58.0,180,98.169789
58.0,180,98.811903
58.9,180,99.445922
58.8,180,100.074423
58.1,180,100.738504
58.1,180,101.382177
58.3,180,102.025616
59.2,180,102.664845
58.7,180,106.251143
58.5,180,106.890657
57.2,180,107.545712
58.6,180,108.176859
59.0,180,108.807691
58.8,180,109.436802
59.5,180,110.070829
58.5,180,110.710891
57.9,180,111.346713
59.0,180,111.982176
58.6,180,112.631653
58.8,180,113.271945
58.6,180,116.888001
58.7,180,117.52773
58.7,180,118.169477
58.6,180,118.828482
58.6,180,119.470695
59.2,180,120.108265
58.6,180,120.758654
59.3,180,121.401035
58.6,180,122.036448
58.9,180,122.694358
58.7,180,123.387272
58.6,180,127.173218
59.2,180,127.813567
57.8,180,128.474296
58.0,180,129.114965
58.8,180,129.771333
59.0,180,130.416269
59.6,180,131.058494
59.2,180,131.744956
59.2,180,132.388668
58.4,180,133.044571
58.6,180,133.685945
58.2,180,137.295893
59.6,180,137.944969
59.7,180,138.621611
58.4,180,139.308865
59.0,180,139.962713
58.7,180,140.606332
58.8,180,141.247291
58.5,180,141.883697
59.0,180,142.522781
58.7,180,143.160816
58.5,180,143.798008
59.3,180,144.434995
59.4,180,148.063099
59.0,180,148.712856
58.8,180,149.360527
58.6,180,149.998777
59.5,180,150.657177
59.2,180,151.343469
59.5,180,152.018064
58.3,180,152.678697
58.2,180,153.347923
59.2,180,154.018494
59.3,180,154.650532
59.0,180,158.367564
59.2,180,159.011101
59.5,180,159.665202
58.9,180,160.323037
59.4,180,160.981243
58.4,180,161.622113
58.6,180,162.264145
59.6,180,162.892869
60.3,180,163.535274
58.7,180,164.162061
59.1,180,164.791665
59.3,180,165.439095
60.2,180,169.11451
59.2,180,169.746217
59.2,180,170.397516
59.2,180,171.03033
59.5,180,171.658025
58.2,180,172.30048
59.4,180,172.944193
59.6,180,173.57375
59.3,180,174.202452
58.5,180,174.833756
